Word,NumId
Rouse,-51
Facilitate,-33
Simplify,-33
Easen,-33
Help,-33
Assist,-33
Rebuff (good offer),46
Abnegate (Renounce),46
Abdicate,46
Bequeath (asset),46
Relinquish,46
Achieve,-46
Attain,-46
Gain,-46
Acquire,-46
Conducive,52
Adverse,-52
Propitious,52
Advantageous,52
Facilitative,52
Hostile,-52
Antagonistic,-52
Critical,-52
Inimical,-52
Harmful,-52
Malicious,-52
Pernicious,-52
Injurious,-52
Detrimental,-52
Deleterious,-52
Malignant,-52
Beneficial,52
Benign,53
Benevolent,53
Malevolent,-53
Vicious,-53
Ruthless,-53
Savage,-53
Brutal,-53
Cruel,-53
Kind,53
Malicious (action),-53
Attach,87
Affix,87
Add,54
Remove,-54
Discard,-54
Delete,-54
Dispose,-54
Purge (a negative thing),-54
Avert,34
Stave off,34
Discern,58
Decadence,55
Depravity,55
Degeneracy,55
Temperance,56
Recognise,58
Self-control,56
Abstinence,57
Asceticism,57
Abstention,57
Indulgence,-57
Continence,56
Composure,56
Perceive,58
Apprehend,58
Comprehend,58
Apprehension,60
Seize,61
Detainment,60
Detention,60
Captivity,60
Fathom,58
Arrest,60
Realise,58
Stubborn,66
Firm,67
Unwavering,67
Unyielding,67
Rigid,67
Obdurate,66
Adamant,66
Ample,19
Bountiful,19
Sufficient,59
Enough,59
Adequate,59
Meagre,-19
Scarce,-19
Sparse,-19
Deficient,-59
Scant,-19
Exiguous,-19
Grasp,58
Grasp (grab),61
Dodge,63
Evade,63
Evade (Run away),62
Elude,62
Escape,62
Flee,62
Circumvent,0
Submit,-65
Abrogate,64
Cancel,64
Quash,64
Annul (nullify),64
Rescind,64
Obstinate,66
Persistent,66
Importunate (excessive),66
Insistent,66
Implacable,66
Stiff,67
Inflexible,67
Soft (easygoing),-67
Malleable,-67
Flexible,-67
Stringent (laws),67
Strict (manner),67
Rigorous,67
Lenient,-67
Harsh (behavior),67
Stern,67
Tough,67
Merciless,67
Grim,67
Gruff (voice),68
Hoarse,68
Coarse,68
Strident,68
Austere,67
Flinty,67
Lax,-67
Austere (person),68
Harsh,68
Rough,68
Soft,-68
Stridulous,68
Smooth,-68
Allege,-69
Reprieve,69
Exonerate,69
Exempt,69
Sporadic,70
Infrequent,70
Occasional,70
Intermittent,70
Continuous,71
Disrupt,72
Acknowledge,-47
Abnegate (Decline),47
Rebuff,47
Confess,-47
Profess,-47
Interrupt,72
Disturb,72
Impede,72
Interminable,73
Endless,71
